scenario,algorithm,temperature,annealing,solved,iterations,cost,time
20,F-CBS Anneal (T=10.0→0),10.0,True,True,93,104.0,0.11803865432739258
20,F-CBS Anneal (T=12.0→0),12.0,True,True,93,104.0,0.11815690994262695
21,CBS,,False,True,9,89.0,0.007688045501708984
21,F-CBS (T=1.0),1.0,False,True,5,89.0,0.004313468933105469
21,F-CBS (T=2.0),2.0,False,True,5,89.0,0.004786968231201172
21,F-CBS (T=5.0),5.0,False,True,5,89.0,0.004351615905761719
21,F-CBS (T=10.0),10.0,False,True,5,89.0,0.004206180572509766
21,F-CBS (T=12.0),12.0,False,True,5,89.0,0.004120349884033203
21,F-CBS Anneal (T=1.0→0),1.0,True,True,5,89.0,0.0049591064453125
21,F-CBS Anneal (T=2.0→0),2.0,True,True,5,89.0,0.004153013229370117
21,F-CBS Anneal (T=5.0→0),5.0,True,True,5,89.0,0.004293680191040039
21,F-CBS Anneal (T=10.0→0),10.0,True,True,5,89.0,0.004862546920776367
21,F-CBS Anneal (T=12.0→0),12.0,True,True,5,89.0,0.0043370723724365234
22,CBS,,False,False,1024,inf,0.9048252105712891
22,F-CBS (T=1.0),1.0,False,False,1024,inf,0.9913525581359863
22,F-CBS (T=2.0),2.0,False,False,1024,inf,0.8178412914276123
22,F-CBS (T=5.0),5.0,False,False,1024,inf,0.8217744827270508
22,F-CBS (T=10.0),10.0,False,False,1024,inf,0.8206357955932617
22,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7958235740661621
22,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,0.930448055267334
22,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,0.9890251159667969
22,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,0.9609105587005615
22,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.1709003448486328
22,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.2985668182373047
23,CBS,,False,True,3,56.0,0.002132415771484375
23,F-CBS (T=1.0),1.0,False,True,2,56.0,0.00140380859375
23,F-CBS (T=2.0),2.0,False,True,2,56.0,0.0013704299926757812
23,F-CBS (T=5.0),5.0,False,True,2,56.0,0.0013577938079833984
23,F-CBS (T=10.0),10.0,False,True,2,56.0,0.0013587474822998047
23,F-CBS (T=12.0),12.0,False,True,2,56.0,0.0014357566833496094
23,F-CBS Anneal (T=1.0→0),1.0,True,True,2,56.0,0.0021829605102539062
