scenario,algorithm,temperature,annealing,solved,iterations,cost,time
22,F-CBS (T=5.0),5.0,False,False,1024,inf,0.9522640705108643
22,F-CBS (T=10.0),10.0,False,False,1024,inf,0.9886295795440674
22,F-CBS (T=12.0),12.0,False,False,1024,inf,1.0230059623718262
22,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.1763854026794434
22,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.0971217155456543
22,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.1629996299743652
22,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.1057896614074707
22,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.1313352584838867
23,CBS,,False,True,3,56.0,0.0021011829376220703
23,F-CBS (T=1.0),1.0,False,True,2,56.0,0.0016317367553710938
23,F-CBS (T=2.0),2.0,False,True,2,56.0,0.0015270709991455078
23,F-CBS (T=5.0),5.0,False,True,2,56.0,0.0015747547149658203
23,F-CBS (T=10.0),10.0,False,True,2,56.0,0.0018918514251708984
23,F-CBS (T=12.0),12.0,False,True,2,56.0,0.0021047592163085938
23,F-CBS Anneal (T=1.0→0),1.0,True,True,2,56.0,0.0023293495178222656
23,F-CBS Anneal (T=2.0→0),2.0,True,True,2,56.0,0.0021369457244873047
23,F-CBS Anneal (T=5.0→0),5.0,True,True,2,56.0,0.002324342727661133
23,F-CBS Anneal (T=10.0→0),10.0,True,True,2,56.0,0.0024993419647216797
23,F-CBS Anneal (T=12.0→0),12.0,True,True,2,56.0,0.002033710479736328
24,CBS,,False,True,18,101.0,0.025599956512451172
24,F-CBS (T=1.0),1.0,False,True,4,101.0,0.009735345840454102
24,F-CBS (T=2.0),2.0,False,True,4,101.0,0.011941671371459961
24,F-CBS (T=5.0),5.0,False,True,4,101.0,0.010871648788452148
24,F-CBS (T=10.0),10.0,False,True,4,101.0,0.007387638092041016
24,F-CBS (T=12.0),12.0,False,True,4,101.0,0.006409883499145508
24,F-CBS Anneal (T=1.0→0),1.0,True,True,4,101.0,0.006658792495727539
24,F-CBS Anneal (T=2.0→0),2.0,True,True,4,101.0,0.009372472763061523
24,F-CBS Anneal (T=5.0→0),5.0,True,True,4,101.0,0.006302595138549805
24,F-CBS Anneal (T=10.0→0),10.0,True,True,4,101.0,0.0061304569244384766
24,F-CBS Anneal (T=12.0→0),12.0,True,True,4,101.0,0.008877992630004883
25,CBS,,False,True,15,75.0,0.013028860092163086
25,F-CBS (T=1.0),1.0,False,False,1024,inf,0.8187234401702881
25,F-CBS (T=2.0),2.0,False,False,1024,inf,0.9006826877593994
25,F-CBS (T=5.0),5.0,False,False,1024,inf,0.8087995052337646
25,F-CBS (T=10.0),10.0,False,False,1024,inf,0.8680932521820068
25,F-CBS (T=12.0),12.0,False,False,1024,inf,0.814824104309082
25,F-CBS Anneal (T=1.0→0),1.0,True,True,12,75.0,0.009209871292114258
25,F-CBS Anneal (T=2.0→0),2.0,True,True,12,75.0,0.010667562484741211
25,F-CBS Anneal (T=5.0→0),5.0,True,True,12,75.0,0.01009511947631836
25,F-CBS Anneal (T=10.0→0),10.0,True,True,12,75.0,0.008033990859985352
25,F-CBS Anneal (T=12.0→0),12.0,True,True,12,75.0,0.007881641387939453
26,CBS,,False,False,1024,inf,1.8517847061157227
26,F-CBS (T=1.0),1.0,False,False,1024,inf,0.7807378768920898
26,F-CBS (T=2.0),2.0,False,False,1024,inf,0.7857625484466553
26,F-CBS (T=5.0),5.0,False,False,1024,inf,0.817922830581665
26,F-CBS (T=10.0),10.0,False,False,1024,inf,0.7929890155792236
26,F-CBS (T=12.0),12.0,False,False,1024,inf,0.7906053066253662
26,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.942441701889038
26,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.9391512870788574
26,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,1.9309027194976807
26,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,1.9116027355194092
26,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,1.9809701442718506
27,CBS,,False,False,1024,inf,1.0430700778961182
27,F-CBS (T=1.0),1.0,False,False,1024,inf,1.1523363590240479
27,F-CBS (T=2.0),2.0,False,False,1024,inf,0.9955403804779053
27,F-CBS (T=5.0),5.0,False,False,1024,inf,1.3869173526763916
27,F-CBS (T=10.0),10.0,False,False,1024,inf,1.3282854557037354
27,F-CBS (T=12.0),12.0,False,False,1024,inf,1.3659400939941406
27,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,1.1124787330627441
27,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,1.1472501754760742
27,F-CBS Anneal (T=5.0→0),5.0,True,True,513,111.0,0.5626471042633057
27,F-CBS Anneal (T=10.0→0),10.0,True,True,513,111.0,0.5436961650848389
27,F-CBS Anneal (T=12.0→0),12.0,True,True,513,111.0,0.5541477203369141
28,CBS,,False,False,1024,inf,11.619990587234497
28,F-CBS (T=1.0),1.0,False,False,1024,inf,13.492017984390259
28,F-CBS (T=2.0),2.0,False,False,1024,inf,12.848644495010376
28,F-CBS (T=5.0),5.0,False,False,1024,inf,11.669484376907349
28,F-CBS (T=10.0),10.0,False,False,1024,inf,11.912627458572388
28,F-CBS (T=12.0),12.0,False,False,1024,inf,12.66333794593811
28,F-CBS Anneal (T=1.0→0),1.0,True,False,1024,inf,11.510247468948364
28,F-CBS Anneal (T=2.0→0),2.0,True,False,1024,inf,11.837036609649658
28,F-CBS Anneal (T=5.0→0),5.0,True,False,1024,inf,14.078275442123413
28,F-CBS Anneal (T=10.0→0),10.0,True,False,1024,inf,14.855444431304932
28,F-CBS Anneal (T=12.0→0),12.0,True,False,1024,inf,14.778633832931519
29,CBS,,False,False,1024,inf,0.7987046241760254
